MUN,NOM_MUN,POBLACIONTOTAL,POBLACIONFEM,POBLACIONMAS,POB0-14AÑOS,POB15_64AÑOS,POB65_AÑOSOMAS,PROM_HIJOS,PCON_DISCAPACIDAD,PCCONDICIOMENTAL,GRADOPROMEDIOESCOLAR,GRADOPROMEDIOESCOLAR_F,GRADOPROMEDIOESCOLAR_M,PSINSERVICIOSALUD,PCONSERVICIOSALUD
0,Aconchi,2944840,1472643,1472197,723847,1981467,236801,2.07,145473,40272,10.4,10.45,10.35,547727,2391479
1,Agua Prieta,5115,2449,2666,1176,3241,698,2.916,341,76,8.586,9.094,8.124,1063,4042
2,Alamos,183578,92119,91459,50506,122470,10492,2.842307692,8066,2254,7.579230769,7.691538462,7.510769231,53331,129926
3,Altar,49482,23942,25540,12582,30799,6095,3.06034965,3299,646,6.463426573,6.597692308,6.351608392,7804,41610
4,Arivechi,18748,9465,9283,5459,11957,1324,2.437777778,1071,175,7.582222222,7.593333333,7.528888889,6096,12637
5,Arizpe,2352,1165,1187,566,1412,374,2.69,194,42,6.781666667,6.66,6.906666667,484,1866
6,Atil,5456,2638,2818,1221,3284,951,3.065714286,654,75,7.150714286,7.783571429,6.739285714,1357,4096
7,Bacadéhuachi,1238,627,611,262,759,217,2.41,85,10,9.07,9.255,8.895,304,934
8,Bacanora,1958,914,1044,392,1216,350,2.75,130,24,7.64,7.79,7.5,428,1526
9,Bacerac,1492,728,764,333,827,316,3.498571429,160,22,6.455714286,6.484285714,6.431428571,325,1149
10,Bacoachi,2423,1228,1195,615,1502,306,3.101666667,153,30,6.758333333,7.04,6.543333333,724,1693
11,Bácum,2860,1416,1444,609,1786,465,3.4575,265,40,7.14375,7.46125,6.76625,396,2464
12,Banámichi,45443,22443,23000,11234,29608,4573,2.598518519,2346,624,7.907407407,7.951111111,7.815925926,8698,36673
13,Baviácora,3609,1785,1824,897,2259,453,2.413333333,171,22,9.641666667,10.01833333,9.098333333,362,3247
14,Bavispe,6351,3045,3306,1409,3902,1040,2.502307692,536,58,8.260769231,8.593076923,8.044615385,836,5513
15,Benito Juárez,2336,1102,1234,646,1348,342,3.466,152,20,7.51,8.002,7.108,1330,1004
16,Benjamín Hill,9912,4989,4923,2572,6233,1107,3.534,717,166,8.286,8.242,8.374,1475,8407
17,Caborca,176992,88423,88569,47255,116982,12651,2.383442623,8239,1889,7.176065574,7.349262295,7.033196721,38738,138044
18,Cajeme,870206,442591,427615,199113,590374,80553,2.494112903,51485,12925,8.181290323,8.487258065,7.952177419,133888,735547
